Id,Name,ShortName,CreatedAtUtc,UpdatedAtUtc,IsActive
1,Lagos,LAG,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
2,Abia,ABI,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
3,Adamawa,ADA,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
4,Akwa Ibom,AKW,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
5,Anambra,ANA,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
6,Bauchi,BAU,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
7,Bayelsa,BAY,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
8,Benue,BEN,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
9,Borno,BOR,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
10,Cross River,CRO,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
11,Delta,DEL,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
12,Ebonyi,EBO,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
13,Edo,EDO,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
14,Ekiti,EKI,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
15,Enugu,ENU,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
16,Gombe,GOM,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
17,Imo,IMO,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
18,Jigawa,JIG,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
19,Kaduna,KAD,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
20,Kano,KAN,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
21,Katsina,KAT,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
22,Kebbi,KEB,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
23,Kogi,KOG,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
24,Kwara,KWA,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
25,Nasarawa,NAS,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
26,Niger,NIG,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
27,Ogun,OGU,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
28,Ondo,OND,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
29,Osun,OSU,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
30,Oyo,OYO,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
31,Plateau,PLA,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
32,Rivers,RIV,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
33,Sokoto,SOK,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
34,Taraba,TAR,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
35,Yobe,YOB,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
36,Zamfara,ZAM,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
37,Abuja (FCT),ABU,2023-02-06 15:51:12.000,2023-02-06 15:51:12.000,0
